name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 1980H,,,,A134754-3232,G,,,,,,,,,SUPERNOVA
SN 2008ef,,,,NGC3241,,Sab:,2,46,123,,,13.06,1.35,SUPERNOVA
SN 1990ak,,,,PGC0097745,,E,,,141,,,15.72,0.92,SUPERNOVA
SN 2001ba,Ia,,,M-05-28-01,,Sbc,3.7,42,105,,,14.09,1.12,SUPERNOVA TYPE I
SN 1992ai,Ia,,,A012908-3216,,S,,,,,,,,SUPERNOVA TYPE I
SN 2012dl,Ia,,,E459-G06,,Sbc:,4.1,74,41,,,13.83,1.21,SUPERNOVA TYPE I
SN 2012ag,Ia,,,M-05-32-65,,IB,10,,114,,,14.86,0.92,SUPERNOVA TYPE I
SN 2009dl,Ia,0.1429,,A120807-3159,,,,,,,,,,SUPERNOVA TYPE I
SN 2011ei,IIb,,,NGC6925,,Sbc,4,74,5,,,12.07,1.65,SUPERNOVA TYPE II
SN 1992T,II,,,A134300-3153,G,S,,,,,,,,SUPERNOVA TYPE II
SN 2009it,Ia,,,NGC6841,,E:,-4.3,,162,,,13.78,1.17,SUPERNOVA TYPE I
SN 2006di,Ia,,,NGC 439,,E-SB0,-3.2,51,156,,,12.89,1.39,SUPERNOVA TYPE I
SN 1982J,,,,A133942-3143,G,S,,,,,,,,SUPERNOVA
SN 1972E,Ia,,Y,NGC5253,,Sd,8,90,45,,,10.76,1.68,SUPERNOVA TYPE I
SN 1895B,Ia,,Y,NGC5253,,Sd,8,90,45,,,10.76,1.68,SUPERNOVA TYPE I
SN 2003bj,II,,,IC4219,,SBb pec,3,27,107,,,13.6,1.03,SUPERNOVA TYPE II
SN 1998Q,,,,A133246-3137,,,,,,,,,,SUPERNOVA
SN 1995C,Ia,,,A120402-3136,,,,,,,,,,SUPERNOVA TYPE I
SN 2004ej,II,,Y,NGC3095,,Sc,5,55,126,,,12.35,1.54,SUPERNOVA TYPE II
SN 2008bp,II P,,Y,NGC3095,,Sc,5,55,126,,,12.35,1.54,SUPERNOVA TYPE II
SN 2010bo,II,,,A155622-3132,,,,,,,,,,SUPERNOVA TYPE II
SN 2003bg,Ic,,,M-05-10-15,,SBc,5,42,26,,,13.92,1.22,SUPERNOVA TYPE I
SN 1998Z,Ia,,,A052458-3121,,,,,,,,,,SUPERNOVA TYPE I
